Orch,Comp,Weight,Comp.Gen
Charleston Symphony Orchestra,"Tchaikovsky, Peter Ilich",1,1
Charleston Symphony Orchestra,"Vaughan Williams, Ralph",1,1
Charlotte Symphony,"Arnold, Malcolm",1,1
Charlotte Symphony,"Barber, Samuel",1,1
Charlotte Symphony,"Beethoven, Ludwig van",2,1
Charlotte Symphony,"Borisova-Ollas, Victoria",1,2
Charlotte Symphony,"Brahms, Johannes",1,1
Charlotte Symphony,"Clyne, Anna",1,2
Charlotte Symphony,"Coleridge-Taylor, Samuel",1,3
Charlotte Symphony,"Corigliano, John",1,1
Charlotte Symphony,"Franck, César",1,1
Charlotte Symphony,"Glinka, Mikhail",1,1
Charlotte Symphony,"Handel, George Frideric",1,1
Charlotte Symphony,"Holst, Gustav",1,1
Charlotte Symphony,"Kabalevsky, Dmitri",1,1
Charlotte Symphony,"Kodály, Zoltán",1,1
Charlotte Symphony,"Mahler, Gustav",1,1
Charlotte Symphony,"Montgomery, Jessie",1,4
Charlotte Symphony,"Mozart, Wolfgang Amadeus",1,1
Charlotte Symphony,"Ortiz, Gabriela",1,4
Charlotte Symphony,"Prokofiev, Sergey",1,1
Charlotte Symphony,"Ravel, Maurice",1,1
Charlotte Symphony,"Schumann, Robert",1,1
Charlotte Symphony,"Shostakovich, Dmitri",2,1
Charlotte Symphony,"Sibelius, Jean",1,1
Charlotte Symphony,"Stravinsky, Igor",1,1
Charlotte Symphony,"Tchaikovsky, Peter Ilich",2,1
Charlotte Symphony,"Vaughan Williams, Ralph",2,1
Charlotte Symphony,"Wallen, Errollyn",1,4
Charlotte Symphony,"Weill, Kurt",1,1
Chattanooga,"Beethoven, Ludwig van",2,1
Chattanooga,"Bizet, Georges",1,1
Chattanooga,"Britten, Benjamin",1,1
Chattanooga,"Dvořák, Antonín",4,1
Chattanooga,"Guilmant, Alexandre",1,1
Chattanooga,"Haydn, Franz Joseph",1,1
Chattanooga,"Montgomery, Jessie",1,4
Chattanooga,"Mozart, Wolfgang Amadeus",2,1
Chattanooga,"Pollock, Frances",1,2
Chattanooga,"Saint-Georges, Joseph Bologne, chevalier de,",1,3
Chattanooga,"Shostakovich, Dmitri",1,1
Chattanooga,"Simon, Carlos",2,3
Chattanooga,"Strauss, Richard",2,1
Chattanooga,"Stravinsky, Igor",1,1
Chattanooga,"Walker, George",1,3
Chautauqua,"Ardizzoia, Andrew",1,1
